Company,DY_2019-2020,DY_2020-2021,DY_2021-2022,DY_2022-2023,DY_2023-2024,DY_2024-2025,Dividend_Count
360ONE.NS,0.019496480576174036,0.07842850691799375,0.045716463302823224,0.04438946750960388,0.03463809640409879,0.004712153603114152,15
3MINDIA.NS,,,,0.04014020101466734,0.003762018952898533,0.01631298507823143,3
AARTIIND.NS,0.007532902529413148,0.002540952282058921,0.004224039256792258,0.0031014504287673666,0.0028973051570041113,,10
AAVAS.NS,,,,,,,0
ABB.NS,,0.009820205311331445,0.005942735745053144,0.0020183535501981644,0.002826055496200911,0.003689717064118853,8
ABBOTINDIA.NS,0.0028942271250673446,0.009457888499399991,0.00913066038767494,0.007183626049542408,0.013034787392563554,,7
ABCAPITAL.NS,,,,,,,0
ABFRL.NS,,,,,,,0
ACC.NS,,0.02113579273376331,,0.02580958377540065,0.004838145085093803,0.0029811499332344734,5
ACE.NS,0.013833808061606128,,0.002505178363258642,0.002416600972280012,0.0017463755402297614,,5
ADANIENT.NS,0.00849823647969258,,0.0007757209918316835,0.0003761486635211361,0.001015933251335113,0.00041486233348559705,7
ADANIGREEN.NS,,,,,,,0
ADANIPORTS.NS,0.009227611841235365,,0.007197596553669681,0.006417544737219614,0.006658777728324316,0.004565330066739605,6
ADANIPOWER.NS,,,,,,,0
AETHER.NS,,,,,,,0
AFFLE.NS,,,,,,,0
AIAENG.NS,0.022280363912261476,,0.004670526363302138,0.0040799268767295425,0.005038167364161244,,5
AJANTPHARM.NS,0.013875803334317559,0.006771524069848254,0.004854955289588979,0.005691714527888862,0.02758285283390024,,6
ALKEM.NS,0.01640933923563308,0.011217747350600212,0.010996244909518367,0.009183309648994631,0.012523302845227246,,10
ALKYLAMINE.NS,0.020955441524002114,0.008586015352017352,0.0018988104942407478,0.003419697676833819,0.0041467195679467965,0.00471979229439021,8
ALLCARGO.NS,0.033221890353816126,0.02057207471358923,0.015173906038530196,0.009237904826478151,,,4
ALOKINDS.NS,,,,,,,0
AMBER.NS,0.003505984899228206,,,,,,2
AMBUJACEM.NS,,0.10178189644750459,0.018650787794727185,,0.0058654810910264525,0.003315836024130159,6
ANANDRATHI.NS,,,0.009013783060496397,0.017465342233388317,0.009421630278043732,0.0024600455761518334,6
ANGELONE.NS,,0.014165431184761957,0.03184636206720284,0.03285126260711811,0.022442100333371517,,15
ANURAS.NS,,,0.0013385906893773987,0.002552367520580569,0.002173608278932835,,7
APARINDS.NS,0.04023395274297699,,0.017334069617593165,0.014773966320345982,0.010928072123801546,,5
APLAPOLLO.NS,0.009773233226488874,,,0.003581623434891247,0.0035958714871821723,,3
APLLTD.NS,0.016640906714363645,,0.016356144680050904,0.014809951192486607,0.012439875356823558,,5
APOLLOHOSP.NS,0.006595693363439075,0.0016262011808892518,0.0007926398577948395,0.004097613158252413,0.00497840346958421,,9
APOLLOTYRE.NS,0.05956104487425671,,0.016414824454233756,0.013988447043547129,0.0013439557181590372,0.012259823453683122,7
APTUS.NS,,,,0.006485315327784757,0.014834898384344508,0.00755356819664369,4
ASAHIINDIA.NS,0.015685677977337838,,0.0028602641018968494,0.0037375371649994386,0.003830836596411902,,6
ASHOKLEY.NS,0.10003239320554813,,0.00513803686876707,0.007688544186583937,0.03348214255011344,0.026111399053205628,8
ASIANPAINT.NS,0.006569143443384591,0.0026455003643863265,0.006424327218009835,0.0064826865548619885,0.008648206442439242,0.009649013426009809,11
ASTERDM.NS,,,,,,0.34003289063054093,1
ASTRAL.NS,0.0012199808124606657,0.0009096656509156436,0.0011894519611500046,0.0015021132458242588,0.002158384763745839,,10
ASTRAZEN.NS,0.00044495709536447825,0.000593558642202148,0.0005867053748852258,0.002714056605585193,0.0041401331850021116,0.00414932242380299,6
ATGL.NS,0.0033720149898999064,,0.00022016942146957556,9.11953918443346e-05,0.00024856744494606973,0.00025819102784671306,6
ATUL.NS,0.011094157455206257,,0.002410123552051056,0.003682870103709082,0.0036011880238907153,,7
AUBANK.NS,0.0010612249860320413,,,0.0007958134699898663,0.0014367853999271642,,3
AUROPHARMA.NS,0.005957190227362225,0.005841717156156738,0.005439644749953433,0.01334753113910494,0.006297603822367055,,12
AVANTIFEED.NS,0.023121729505338882,0.00021357385023584727,0.011951624354663487,0.013794955071420985,0.01603606123588331,,6
AWL.NS,,,,,,,0
AXISBANK.NS,,,,0.0013132289926172005,0.0021024558043292703,,3
BAJAJ-AUTO.NS,0.07097216320068034,,0.04047707796220469,0.04008000124170029,0.030500384124915392,0.009359562094251416,6
BAJAJFINSV.NS,0.0009255353896416994,,0.0002253105976977754,0.0002597636305813676,0.0005380139344708335,0.0006236067232135966,6
BAJAJHLDNG.NS,0.022547574910409245,,0.034237943276887825,0.025029098925061367,0.01831413559811104,0.002509569079664606,9
BAJFINANCE.NS,0.00433660725853634,,0.0016267580592453118,0.002986030044007745,0.004389223310131027,0.005197768483589105,6
BALAMINES.NS,0.027264885649101137,0.0010088185701169349,0.0014600161163352836,0.0038557272276234845,0.004526864433772425,0.004884739395841751,9
BALKRISIND.NS,0.026026142607755445,0.01010692674177414,0.01220051164718677,0.007723500019612137,0.0069152337999334535,0.0015305852810360047,19
BALRAMCHIN.NS,0.01737820097519506,0.018346693694462124,0.008649878743288038,0.006413360447685627,0.007544444557297697,,5
