"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY 500","23,029.35","23,040.75","22,897.95","22,987.65","22,971.15","-16.50","-0.07","3,70,34,29,691","1,18,676.43","23,040.75","16,466.25","5.62","38.77"
"RVNL","508.00","578.95","508.00","491.05","567.50","76.45","15.57","17,83,60,632","9,901.69","578.95","117.05","31.10","302.83"
"RCF","205.18","233.00","205.00","203.94","231.00","27.06","13.27","5,35,84,185","1,177.62","233.00","105.25","32.04","75.28"
"FACT","1,025.05","1,118.95","1,020.00","1,017.25","1,118.95","101.70","10.00","43,86,234","476.15","1,187.00","413.15","45.31","116.83"
"PAYTM","440.20","479.90","440.20","436.55","472.95","36.40","8.34","1,26,98,807","592.27","998.30","310.00","14.49","-48.68"
"IRFC","193.50","206.00","193.50","188.23","202.50","14.27","7.58","26,09,60,455","5,261.75","206.00","32.35","8.43","468.67"
"GESHIP","1,303.35","1,449.95","1,303.35","1,267.80","1,354.00","86.20","6.80","69,76,979","959.08","1,449.95","722.50","9.50","70.98"
"GSFC","244.14","258.90","243.32","243.48","258.25","14.77","6.07","1,26,63,863","321.13","322.25","146.15","16.08","45.88"
"IRCON","311.90","334.50","310.75","307.75","326.25","18.50","6.01","6,96,90,983","2,275.62","334.50","79.00","22.66","275.08"
"FSL","239.13","254.65","239.13","235.71","249.57","13.86","5.88","1,12,18,038","279.33","254.65","124.50","19.68","85.09"
"METROBRAND","1,315.00","1,398.00","1,279.05","1,217.45","1,285.00","67.55","5.55","29,50,894","395.33","1,441.20","960.25","5.33","20.05"
"PNCINFRA","486.50","509.80","484.00","481.50","507.90","26.40","5.48","20,52,553","102.30","574.80","310.10","-8.73","37.02"
"GMDCLTD","402.00","436.20","402.00","401.45","423.25","21.80","5.43","1,67,86,494","714.70","506.00","165.05","5.90","141.40"
"HBLPOWER","590.00","621.00","581.05","569.65","599.50","29.85","5.24","66,16,055","399.66","621.00","152.30","20.34","241.11"
"SWANENERGY","692.60","692.60","692.60","659.65","692.60","32.95","5.00","3,81,237","26.40","782.25","214.25","12.05","151.87"
"OLECTRA","1,820.00","1,948.00","1,819.50","1,823.35","1,912.00","88.65","4.86","43,51,214","829.98","2,221.95","985.10","4.30","48.01"
"RECLTD","582.95","615.55","582.00","580.45","608.50","28.05","4.83","2,97,44,866","1,796.80","615.55","159.15","16.84","249.88"
"NATIONALUM","199.80","207.50","198.63","199.02","207.30","8.28","4.16","2,56,66,049","521.30","207.50","82.65","7.40","140.07"
"SUNTECK","544.30","563.00","517.60","539.60","562.00","22.40","4.15","10,86,623","58.90","619.40","284.80","6.24","61.29"
