Company,Year,Annual_Net_Income,Annual_Dividends,Payout_Ratio
360ONE.NS,2019,24090720000.0,2.5,1.0377439943679559e-10
360ONE.NS,2020,24090720000.0,12.5,5.188719971839779e-10
360ONE.NS,2021,24090720000.0,21.25,8.820823952127625e-10
360ONE.NS,2022,24090720000.0,13.0,5.39626877071337e-10
360ONE.NS,2023,24090720000.0,16.25,6.745335963391712e-10
360ONE.NS,2024,24090720000.0,8.0,3.3207807819774584e-10
3MINDIA.NS,2019,14687836000.0,0.0,0.0
3MINDIA.NS,2020,14687836000.0,0.0,0.0
3MINDIA.NS,2021,14687836000.0,0.0,0.0
3MINDIA.NS,2022,14687836000.0,850.0,5.787101653368134e-08
3MINDIA.NS,2023,14687836000.0,100.0,6.808354886315452e-09
3MINDIA.NS,2024,14687836000.0,525.0,3.574386315315612e-08
AARTIIND.NS,2019,26701400000.0,1.75,6.553963462589976e-11
AARTIIND.NS,2020,26701400000.0,2.5,9.36280494655711e-11
AARTIIND.NS,2021,26701400000.0,2.5,9.36280494655711e-11
AARTIIND.NS,2022,26701400000.0,2.5,9.36280494655711e-11
AARTIIND.NS,2023,26701400000.0,2.5,9.36280494655711e-11
AARTIIND.NS,2024,26701400000.0,0.0,0.0
AAVAS.NS,2019,15644378000.0,0.0,0.0
AAVAS.NS,2020,15644378000.0,0.0,0.0
AAVAS.NS,2021,15644378000.0,0.0,0.0
AAVAS.NS,2022,15644378000.0,0.0,0.0
AAVAS.NS,2023,15644378000.0,0.0,0.0
AAVAS.NS,2024,15644378000.0,0.0,0.0
ABB.NS,2019,29972100000.0,0.0,0.0
ABB.NS,2020,29972100000.0,9.6,3.202978770256338e-10
ABB.NS,2021,29972100000.0,10.0,3.336436219017019e-10
ABB.NS,2022,29972100000.0,5.2,1.7349468338888501e-10
ABB.NS,2023,29972100000.0,11.0,3.670079840918721e-10
ABB.NS,2024,29972100000.0,23.8,7.940718201260506e-10
ABBOTINDIA.NS,2019,36400200000.0,30.0,8.241712957621112e-10
ABBOTINDIA.NS,2020,36400200000.0,143.0,3.9285498431327304e-09
ABBOTINDIA.NS,2021,36400200000.0,155.0,4.2582183614375745e-09
ABBOTINDIA.NS,2022,36400200000.0,130.0,3.5714089483024817e-09
ABBOTINDIA.NS,2023,36400200000.0,290.0,7.966989192367074e-09
ABBOTINDIA.NS,2024,36400200000.0,0.0,0.0
ABCAPITAL.NS,2019,109632600000.0,0.0,0.0
